ABC00000000000000001,5,100.5,Apple,5/28/2024 0:00,123AP,Buy,Complete
ABC00000000000000002,10,50.75,Banana,4/28/2024 0:00,123BA,Buy,Complete
ABC00000000000000003,8,1500,Banana,4/28/2024 0:00,123BA,Buy,Complete
ABC00000000000000004,7,1500,Banana,4/28/2024 0:00,123BA,Buy,Complete
ABC00000000000000001,5,101,Apple,5/28/2024 0:00,123AP,Buy,Complete
,,,,,,,
ABC00000000000000002,10,51,Banana,4/28/2024 0:00,123BA,Buy,Complete
,,,,,,,
ABC00000000000000001,5,101,Apple,5/28/2024 0:00,123AP,Buy,Complete
,,,,,,,
ABC00000000000000001,5,101,Apple,5/28/2024 0:00,123AP,Buy,Complete
,,,,,,,
ABC00000000000000002,10,51,Banana,4/28/2024 0:00,123BA,Buy,Complete
,,,,,,,
ABC00000000000000001,5,101,Apple,5/28/2024 0:00,123AP,Buy,Complete
,,,,,,,
ABC00000000000000001,5,101,Apple,5/28/2024 0:00,123AP,Buy,Complete
,,,,,,,
ABC00000000000000002,10,51,Banana,4/28/2024 0:00,123BA,Buy,Complete
,,,,,,,
ABC00000000000000001,5,101,Apple,5/28/2024 0:00,123AP,Buy,Complete
,,,,,,,
ABC00000000000000001,5,101,Apple,5/28/2024 0:00,123AP,Buy,Complete
,,,,,,,
ABC00000000000000002,10,51,Banana,4/28/2024 0:00,123BA,Buy,Complete
,,,,,,,
ABC00000000000000001,5,101,Apple,5/28/2024 0:00,123AP,Buy,Complete
,,,,,,,
ABC00000000000000001,5,101,Apple,5/28/2024 0:00,123AP,Buy,Complete
,,,,,,,
ABC00000000000000002,10,51,Banana,4/28/2024 0:00,123BA,Buy,Complete
,,,,,,,
ABC00000000000000001,5,101,Apple,5/28/2024 0:00,123AP,Buy,Complete
,,,,,,,
ABC00000000000000001,5,101,Apple,5/28/2024 0:00,123AP,Buy,Complete
,,,,,,,
ABC00000000000000002,10,51,Banana,4/28/2024 0:00,123BA,Buy,Complete
,,,,,,,
ABC00000000000000001,5,101,Apple,5/28/2024 0:00,123AP,Buy,Complete
,,,,,,,
ABC00000000000000003,8,1500,Banana,4/28/2024 0:00,123BA,Buy,Complete
,,,,,,,
ABC00000000000000002,10,51,Banana,4/28/2024 0:00,123BA,Buy,Complete
,,,,,,,
ABC00000000000000001,5,101,Apple,5/28/2024 0:00,123AP,Buy,Complete
,,,,,,,
ABC00000000000000004,7,1500,Banana,4/28/2024 0:00,123BA,Buy,Complete
,,,,,,,
ABC00000000000000003,8,1500,Banana,4/28/2024 0:00,123BA,Buy,Complete
,,,,,,,
ABC00000000000000002,10,51,Banana,4/28/2024 0:00,123BA,Buy,Complete
,,,,,,,
ABC00000000000000001,5,101,Apple,5/28/2024 0:00,123AP,Buy,Complete
,,,,,,,
ABC00000000000000004,7,1500,Banana,4/28/2024 0:00,123BA,Buy,Complete
,,,,,,,
ABC00000000000000003,8,1500,Banana,4/28/2024 0:00,123BA,Buy,Complete
,,,,,,,
ABC00000000000000002,10,51,Banana,4/28/2024 0:00,123BA,Buy,Complete
,,,,,,,
ABC00000000000000001,5,101,Apple,5/28/2024 0:00,123AP,Buy,Complete
,,,,,,,
ABC00000000000000001,5,100.5,Apple,5/28/2024 0:00,123AP,Buy,Complete
,,,,,,,
ABC00000000000000002,10,50.75,Banana,4/28/2024 0:00,123BA,Buy,Complete
,,,,,,,
ABC00000000000000001,5,100.5,Apple,5/28/2024 0:00,123AP,Buy,Complete
,,,,,,,
ABC00000000000000003,8,1500,Banana,4/28/2024 0:00,123BA,Buy,Complete
,,,,,,,
ABC00000000000000002,10,50.75,Banana,4/28/2024 0:00,123BA,Buy,Complete
,,,,,,,
ABC00000000000000001,5,100.5,Apple,5/28/2024 0:00,123AP,Buy,Complete
,,,,,,,
ABC00000000000000004,7,1500,Banana,4/28/2024 0:00,123BA,Buy,Complete
,,,,,,,
ABC00000000000000003,8,1500,Banana,4/28/2024 0:00,123BA,Buy,Complete
,,,,,,,
ABC00000000000000002,10,50.75,Banana,4/28/2024 0:00,123BA,Buy,Complete
,,,,,,,
ABC00000000000000001,5,100.5,Apple,5/28/2024 0:00,123AP,Buy,Complete
,,,,,,,
ABC00000000000000004,7,1500,Banana,4/28/2024 0:00,123BA,Buy,Complete
,,,,,,,
ABC00000000000000003,8,1500,Banana,4/28/2024 0:00,123BA,Buy,Complete
,,,,,,,
ABC00000000000000002,10,50.75,Banana,4/28/2024 0:00,123BA,Buy,Complete
,,,,,,,
ABC00000000000000001,5,100.5,Apple,5/28/2024 0:00,123AP,Buy,Complete
,,,,,,,
ABC00000000000000001,5,100.5,Apple,5/28/2024 0:00,123AP,Buy,Complete
,,,,,,,
ABC00000000000000002,10,50.75,Banana,4/28/2024 0:00,123BA,Buy,Complete
,,,,,,,
ABC00000000000000001,5,100.5,Apple,5/28/2024 0:00,123AP,Buy,Complete
,,,,,,,
ABC00000000000000003,8,1500,Banana,4/28/2024 0:00,123BA,Buy,Complete
,,,,,,,
ABC00000000000000002,10,50.75,Banana,4/28/2024 0:00,123BA,Buy,Complete
,,,,,,,
ABC00000000000000001,5,100.5,Apple,5/28/2024 0:00,123AP,Buy,Complete
,,,,,,,
ABC00000000000000004,7,1500,Banana,4/28/2024 0:00,123BA,Buy,Complete
,,,,,,,
ABC00000000000000003,8,1500,Banana,4/28/2024 0:00,123BA,Buy,Complete
,,,,,,,
ABC00000000000000002,10,50.75,Banana,4/28/2024 0:00,123BA,Buy,Complete
,,,,,,,
ABC00000000000000001,5,100.5,Apple,5/28/2024 0:00,123AP,Buy,Complete
,,,,,,,
ABC00000000000000004,7,1500,Banana,4/28/2024 0:00,123BA,Buy,Complete
,,,,,,,
ABC00000000000000003,8,1500,Banana,4/28/2024 0:00,123BA,Buy,Complete
,,,,,,,
ABC00000000000000002,10,50.75,Banana,4/28/2024 0:00,123BA,Buy,Complete
,,,,,,,
ABC00000000000000001,5,100.5,Apple,5/28/2024 0:00,123AP,Buy,Complete
,,,,,,,
ABC00000000000000001,5,100.5,Apple,5/28/2024 0:00,123AP,Buy,Complete
,,,,,,,
ABC00000000000000002,10,50.75,Banana,4/28/2024 0:00,123BA,Buy,Complete
,,,,,,,
ABC00000000000000001,5,100.5,Apple,5/28/2024 0:00,123AP,Buy,Complete
,,,,,,,
ABC00000000000000003,8,1500,Banana,4/28/2024 0:00,123BA,Buy,Complete
,,,,,,,
ABC00000000000000002,10,50.75,Banana,4/28/2024 0:00,123BA,Buy,Complete
,,,,,,,
ABC00000000000000001,5,100.5,Apple,5/28/2024 0:00,123AP,Buy,Complete
,,,,,,,
ABC00000000000000004,7,1500,Banana,4/28/2024 0:00,123BA,Buy,Complete
,,,,,,,
ABC00000000000000003,8,1500,Banana,4/28/2024 0:00,123BA,Buy,Complete
,,,,,,,
ABC00000000000000002,10,50.75,Banana,4/28/2024 0:00,123BA,Buy,Complete
,,,,,,,
ABC00000000000000001,5,100.5,Apple,5/28/2024 0:00,123AP,Buy,Complete
,,,,,,,
ABC00000000000000004,7,1500,Banana,4/28/2024 0:00,123BA,Buy,Complete
,,,,,,,
ABC00000000000000003,8,1500,Banana,4/28/2024 0:00,123BA,Buy,Complete
,,,,,,,
ABC00000000000000002,10,50.75,Banana,4/28/2024 0:00,123BA,Buy,Complete
,,,,,,,
ABC00000000000000001,5,100.5,Apple,5/28/2024 0:00,123AP,Buy,Complete
